standort,zielcluster,referenzpaar,referenzcluster,gewichtungsverfahren,referenzgewicht_0_bis_1
Alpen-Sevelen,AS-02,AS-03--AS-06,AS-03,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-03--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-03--AS-06,AS-03,1/d^2,0.4519318324061921
Alpen-Sevelen,AS-02,AS-03--AS-06,AS-06,1/d^2,0.5480681675938079
Alpen-Sevelen,AS-02,AS-03--AS-06,AS-03,Wald + Wind,0.4371783440130904
Alpen-Sevelen,AS-02,AS-03--AS-06,AS-06,Wald + Wind,0.5628216559869095
Alpen-Sevelen,AS-02,AS-03--AS-06,AS-03,Vollstaendig,0.4610814093634302
Alpen-Sevelen,AS-02,AS-03--AS-06,AS-06,Vollstaendig,0.5389185906365698
Alpen-Sevelen,AS-02,AS-04--AS-05,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-04--AS-05,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-04--AS-05,AS-04,1/d^2,0.469805017577744
Alpen-Sevelen,AS-02,AS-04--AS-05,AS-05,1/d^2,0.530194982422256
Alpen-Sevelen,AS-02,AS-04--AS-05,AS-04,Wald + Wind,0.5300921573923967
Alpen-Sevelen,AS-02,AS-04--AS-05,AS-05,Wald + Wind,0.4699078426076034
Alpen-Sevelen,AS-02,AS-04--AS-05,AS-04,Vollstaendig,0.5258216919261538
Alpen-Sevelen,AS-02,AS-04--AS-05,AS-05,Vollstaendig,0.4741783080738462
Alpen-Sevelen,AS-02,AS-04--AS-06,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-04--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-04--AS-06,AS-04,1/d^2,0.5124623499288311
Alpen-Sevelen,AS-02,AS-04--AS-06,AS-06,1/d^2,0.4875376500711688
Alpen-Sevelen,AS-02,AS-04--AS-06,AS-04,Wald + Wind,0.495881895963489
Alpen-Sevelen,AS-02,AS-04--AS-06,AS-06,Wald + Wind,0.5041181040365109
Alpen-Sevelen,AS-02,AS-04--AS-06,AS-04,Vollstaendig,0.4927536022187496
Alpen-Sevelen,AS-02,AS-04--AS-06,AS-06,Vollstaendig,0.5072463977812505
Alpen-Sevelen,AS-02,AS-05--AS-06,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-05--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-05--AS-06,AS-05,1/d^2,0.5425932209604375
Alpen-Sevelen,AS-02,AS-05--AS-06,AS-06,1/d^2,0.4574067790395624
Alpen-Sevelen,AS-02,AS-05--AS-06,AS-05,Wald + Wind,0.4658066878724213
Alpen-Sevelen,AS-02,AS-05--AS-06,AS-06,Wald + Wind,0.5341933121275787
Alpen-Sevelen,AS-02,AS-05--AS-06,AS-05,Vollstaendig,0.466956641825468
Alpen-Sevelen,AS-02,AS-05--AS-06,AS-06,Vollstaendig,0.533043358174532
Alpen-Sevelen,AS-03,AS-01--AS-02,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-01--AS-02,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-01--AS-02,AS-01,1/d^2,0.6498571452187268
Alpen-Sevelen,AS-03,AS-01--AS-02,AS-02,1/d^2,0.3501428547812731
Alpen-Sevelen,AS-03,AS-01--AS-02,AS-01,Wald + Wind,0.5317843152975222
Alpen-Sevelen,AS-03,AS-01--AS-02,AS-02,Wald + Wind,0.4682156847024776
Alpen-Sevelen,AS-03,AS-01--AS-02,AS-01,Vollstaendig,0.5277418429340487
Alpen-Sevelen,AS-03,AS-01--AS-02,AS-02,Vollstaendig,0.4722581570659513
Alpen-Sevelen,AS-03,AS-01--AS-04,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-01--AS-04,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-01--AS-04,AS-01,1/d^2,0.0287053294133145
Alpen-Sevelen,AS-03,AS-01--AS-04,AS-04,1/d^2,0.9712946705866856
Alpen-Sevelen,AS-03,AS-01--AS-04,AS-01,Wald + Wind,0.4262318103536182
Alpen-Sevelen,AS-03,AS-01--AS-04,AS-04,Wald + Wind,0.5737681896463818
Alpen-Sevelen,AS-03,AS-01--AS-04,AS-01,Vollstaendig,0.4415191021869908
Alpen-Sevelen,AS-03,AS-01--AS-04,AS-04,Vollstaendig,0.5584808978130091
Alpen-Sevelen,AS-03,AS-01--AS-05,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-01--AS-05,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-01--AS-05,AS-01,1/d^2,0.128364732431484
Alpen-Sevelen,AS-03,AS-01--AS-05,AS-05,1/d^2,0.871635267568516
Alpen-Sevelen,AS-03,AS-01--AS-05,AS-01,Wald + Wind,0.4853257494295164
Alpen-Sevelen,AS-03,AS-01--AS-05,AS-05,Wald + Wind,0.5146742505704834
Alpen-Sevelen,AS-03,AS-01--AS-05,AS-01,Vollstaendig,0.4989946248966712
Alpen-Sevelen,AS-03,AS-01--AS-05,AS-05,Vollstaendig,0.5010053751033288
Alpen-Sevelen,AS-03,AS-01--AS-06,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-01--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-01--AS-06,AS-01,1/d^2,0.0922312221841326
Alpen-Sevelen,AS-03,AS-01--AS-06,AS-06,1/d^2,0.9077687778158672
Alpen-Sevelen,AS-03,AS-01--AS-06,AS-01,Wald + Wind,0.4483542723722787
Alpen-Sevelen,AS-03,AS-01--AS-06,AS-06,Wald + Wind,0.5516457276277213
Alpen-Sevelen,AS-03,AS-01--AS-06,AS-01,Vollstaendig,0.4638594018164218
Alpen-Sevelen,AS-03,AS-01--AS-06,AS-06,Vollstaendig,0.5361405981835782
Alpen-Sevelen,AS-03,AS-02--AS-04,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-02--AS-04,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-02--AS-04,AS-02,1/d^2,0.015673929428065
Alpen-Sevelen,AS-03,AS-02--AS-04,AS-04,1/d^2,0.9843260705719348
Alpen-Sevelen,AS-03,AS-02--AS-04,AS-02,Wald + Wind,0.3954282407085636
Alpen-Sevelen,AS-03,AS-02--AS-04,AS-04,Wald + Wind,0.6045717592914364
Alpen-Sevelen,AS-03,AS-02--AS-04,AS-02,Vollstaendig,0.4143331915670836
Alpen-Sevelen,AS-03,AS-02--AS-04,AS-04,Vollstaendig,0.5856668084329164
Alpen-Sevelen,AS-03,AS-02--AS-05,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-02--AS-05,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-02--AS-05,AS-02,1/d^2,0.0735151139422353
Alpen-Sevelen,AS-03,AS-02--AS-05,AS-05,1/d^2,0.9264848860577648
Alpen-Sevelen,AS-03,AS-02--AS-05,AS-02,Wald + Wind,0.453627947874088
Alpen-Sevelen,AS-03,AS-02--AS-05,AS-05,Wald + Wind,0.546372052125912
Alpen-Sevelen,AS-03,AS-02--AS-05,AS-02,Vollstaendig,0.4712559887546879
Alpen-Sevelen,AS-03,AS-02--AS-05,AS-05,Vollstaendig,0.5287440112453122
Alpen-Sevelen,AS-03,AS-02--AS-06,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-02--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-02--AS-06,AS-02,1/d^2,0.0519019126750079
Alpen-Sevelen,AS-03,AS-02--AS-06,AS-06,1/d^2,0.948098087324992
Alpen-Sevelen,AS-03,AS-02--AS-06,AS-02,Wald + Wind,0.4171141932688579
Alpen-Sevelen,AS-03,AS-02--AS-06,AS-06,Wald + Wind,0.582885806731142
Alpen-Sevelen,AS-03,AS-02--AS-06,AS-02,Vollstaendig,0.4363727314105664
Alpen-Sevelen,AS-03,AS-02--AS-06,AS-06,Vollstaendig,0.5636272685894337
Alpen-Sevelen,AS-03,AS-04--AS-05,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-03,AS-04--AS-05,AS-05,Gleichgewichtung,0.5
