modell,teststandort,alpha,mae_direkte_fehlerprognose
Distanz + RIX + Wald,Ostfriesland,1.0,0.0357027790053409
Distanz + RIX + Wald,Paderborn,10.0,0.0513899773852224
Distanz + RIX + Wald,Rheda-Beckum,1.0,0.0230981217904135
Distanz + RIX + Wind,Alpen-Sevelen,1.0,0.0199291031947748
Distanz + RIX + Wind,Altenmellrich,1.0,0.0567861083270365
Distanz + RIX + Wind,Bad Berleburg,1.0,0.0858206168749498
Distanz + RIX + Wind,Borken-Coesfeld,1.0,0.025583208814006
Distanz + RIX + Wind,Lorup,1.0,0.0393931693742422
Distanz + RIX + Wind,Ostfriesland,1.0,0.0343695698330122
Distanz + RIX + Wind,Paderborn,10.0,0.050733064465305
Distanz + RIX + Wind,Rheda-Beckum,1.0,0.0214069561531691
Distanz + Gelaendehoehe + Rauigkeit,Alpen-Sevelen,1.0,0.0275282079964432
Distanz + Gelaendehoehe + Rauigkeit,Altenmellrich,1.0,0.0540789626298924
Distanz + Gelaendehoehe + Rauigkeit,Bad Berleburg,1.0,0.0488091950409844
Distanz + Gelaendehoehe + Rauigkeit,Borken-Coesfeld,1.0,0.0457463108644001
Distanz + Gelaendehoehe + Rauigkeit,Lorup,1.0,0.0662625069811881
Distanz + Gelaendehoehe + Rauigkeit,Ostfriesland,1.0,0.0463364415859578
Distanz + Gelaendehoehe + Rauigkeit,Paderborn,1.0,0.0560510194888383
Distanz + Gelaendehoehe + Rauigkeit,Rheda-Beckum,1.0,0.027688163978284
Distanz + Gelaendehoehe + Wald,Alpen-Sevelen,1.0,0.0280665013569536
Distanz + Gelaendehoehe + Wald,Altenmellrich,1.0,0.0487580878271612
Distanz + Gelaendehoehe + Wald,Bad Berleburg,1.0,0.0485218545107908
Distanz + Gelaendehoehe + Wald,Borken-Coesfeld,1.0,0.0402997184083476
Distanz + Gelaendehoehe + Wald,Lorup,1.0,0.0699238337593792
Distanz + Gelaendehoehe + Wald,Ostfriesland,1.0,0.0387200364757202
Distanz + Gelaendehoehe + Wald,Paderborn,1.0,0.0554931534736777
Distanz + Gelaendehoehe + Wald,Rheda-Beckum,1.0,0.0261377100402298
Distanz + Gelaendehoehe + Wind,Alpen-Sevelen,1.0,0.0209163612264676
Distanz + Gelaendehoehe + Wind,Altenmellrich,1.0,0.0554108398136868
Distanz + Gelaendehoehe + Wind,Bad Berleburg,1.0,0.0562478569831235
Distanz + Gelaendehoehe + Wind,Borken-Coesfeld,1.0,0.0305861364184775
Distanz + Gelaendehoehe + Wind,Lorup,1.0,0.0431334192440129
Distanz + Gelaendehoehe + Wind,Ostfriesland,1.0,0.0350093153038624
Distanz + Gelaendehoehe + Wind,Paderborn,1.0,0.0540171181106021
Distanz + Gelaendehoehe + Wind,Rheda-Beckum,1.0,0.0235311817830238
Distanz + Rauigkeit + Wald,Alpen-Sevelen,1.0,0.0328997132245208
Distanz + Rauigkeit + Wald,Altenmellrich,10.0,0.0533358826669905
Distanz + Rauigkeit + Wald,Bad Berleburg,1.0,0.0443674272701159
Distanz + Rauigkeit + Wald,Borken-Coesfeld,1.0,0.044853293216515
Distanz + Rauigkeit + Wald,Lorup,1.0,0.0861335718321607
Distanz + Rauigkeit + Wald,Ostfriesland,1.0,0.0439679510901457
Distanz + Rauigkeit + Wald,Paderborn,1.0,0.0512270730605974
Distanz + Rauigkeit + Wald,Rheda-Beckum,1.0,0.0246563509130128
Distanz + Rauigkeit + Wind,Alpen-Sevelen,1.0,0.0220320772307008
Distanz + Rauigkeit + Wind,Altenmellrich,1.0,0.0566334315894042
Distanz + Rauigkeit + Wind,Bad Berleburg,0.1,0.1387395697658492
Distanz + Rauigkeit + Wind,Borken-Coesfeld,1.0,0.0317307884903587
Distanz + Rauigkeit + Wind,Lorup,1.0,0.0504035684524677
Distanz + Rauigkeit + Wind,Ostfriesland,1.0,0.0388847098114134
Distanz + Rauigkeit + Wind,Paderborn,1.0,0.0495375984357723
Distanz + Rauigkeit + Wind,Rheda-Beckum,1.0,0.0224492369492864
Distanz + Wald + Wind,Alpen-Sevelen,1.0,0.020850976775527
Distanz + Wald + Wind,Altenmellrich,1.0,0.0530486096980007
Distanz + Wald + Wind,Bad Berleburg,1.0,0.0470797953431335
Distanz + Wald + Wind,Borken-Coesfeld,1.0,0.0276712948913818
Distanz + Wald + Wind,Lorup,1.0,0.0536966695355014
Distanz + Wald + Wind,Ostfriesland,1.0,0.0310189781096974
Distanz + Wald + Wind,Paderborn,1.0,0.0512449000268649
Distanz + Wald + Wind,Rheda-Beckum,1.0,0.0207536891712014
RIX + Gelaendehoehe + Rauigkeit,Alpen-Sevelen,1.0,0.0225420191160487
RIX + Gelaendehoehe + Rauigkeit,Altenmellrich,1.0,0.0522298311133895
RIX + Gelaendehoehe + Rauigkeit,Bad Berleburg,0.1,0.2945361583291482
RIX + Gelaendehoehe + Rauigkeit,Borken-Coesfeld,1.0,0.0325130028509916
RIX + Gelaendehoehe + Rauigkeit,Lorup,1.0,0.0506309213518815
RIX + Gelaendehoehe + Rauigkeit,Ostfriesland,1.0,0.0300483725584032
RIX + Gelaendehoehe + Rauigkeit,Paderborn,10.0,0.051357095724218
RIX + Gelaendehoehe + Rauigkeit,Rheda-Beckum,1.0,0.0250180724290077
RIX + Gelaendehoehe + Wald,Alpen-Sevelen,1.0,0.0218820004023904
RIX + Gelaendehoehe + Wald,Altenmellrich,1.0,0.0496486713264036
RIX + Gelaendehoehe + Wald,Bad Berleburg,1.0,0.0690315360459268
RIX + Gelaendehoehe + Wald,Borken-Coesfeld,1.0,0.0296448866952811
RIX + Gelaendehoehe + Wald,Lorup,1.0,0.0554478159228779
RIX + Gelaendehoehe + Wald,Ostfriesland,1.0,0.0249566225006794
RIX + Gelaendehoehe + Wald,Paderborn,1.0,0.0548053343270847
RIX + Gelaendehoehe + Wald,Rheda-Beckum,1.0,0.0241509322412069
RIX + Gelaendehoehe + Wind,Alpen-Sevelen,1.0,0.0195730831180627
RIX + Gelaendehoehe + Wind,Altenmellrich,1.0,0.0534229521864144
RIX + Gelaendehoehe + Wind,Bad Berleburg,1.0,0.0822368266601066
RIX + Gelaendehoehe + Wind,Borken-Coesfeld,1.0,0.0257516000385606
RIX + Gelaendehoehe + Wind,Lorup,1.0,0.0372073584556401
RIX + Gelaendehoehe + Wind,Ostfriesland,1.0,0.0252419013120564
RIX + Gelaendehoehe + Wind,Paderborn,10.0,0.050530123658469
RIX + Gelaendehoehe + Wind,Rheda-Beckum,1.0,0.0217536044154283
RIX + Rauigkeit + Wald,Alpen-Sevelen,1.0,0.0236356885283697
RIX + Rauigkeit + Wald,Altenmellrich,1.0,0.0517622885278677
RIX + Rauigkeit + Wald,Bad Berleburg,1.0,0.0701654344627452
RIX + Rauigkeit + Wald,Borken-Coesfeld,1.0,0.0320816662235919
RIX + Rauigkeit + Wald,Lorup,1.0,0.0656540131971272
RIX + Rauigkeit + Wald,Ostfriesland,1.0,0.0288415803425826
RIX + Rauigkeit + Wald,Paderborn,10.0,0.0510576862610582
