standort,clusterpaar,modell,prognostiziertes_rms_logfehlerniveau
Borken-Coesfeld,BC-03--BC-04,Wald + Wind,0.0477965709969879
Borken-Coesfeld,BC-03--BC-05,Wald + Wind,0.056997542586283
Borken-Coesfeld,BC-03--BC-06,Wald + Wind,0.0535983197308367
Borken-Coesfeld,BC-04--BC-05,Wald + Wind,0.0565605858006724
Borken-Coesfeld,BC-04--BC-06,Wald + Wind,0.0560603983487499
Borken-Coesfeld,BC-05--BC-06,Wald + Wind,0.0586183117331499
Borken-Coesfeld,BC-01--BC-02,Vollstaendig,0.0529045917704476
Borken-Coesfeld,BC-01--BC-03,Vollstaendig,0.0511661330812448
Borken-Coesfeld,BC-01--BC-04,Vollstaendig,0.0495087056047318
Borken-Coesfeld,BC-01--BC-05,Vollstaendig,0.0508202823959658
Borken-Coesfeld,BC-01--BC-06,Vollstaendig,0.053354689545182
Borken-Coesfeld,BC-02--BC-03,Vollstaendig,0.061496979861317
Borken-Coesfeld,BC-02--BC-04,Vollstaendig,0.0561203323623516
Borken-Coesfeld,BC-02--BC-05,Vollstaendig,0.0496924957915149
Borken-Coesfeld,BC-02--BC-06,Vollstaendig,0.0636446537814963
Borken-Coesfeld,BC-03--BC-04,Vollstaendig,0.0447697470409109
Borken-Coesfeld,BC-03--BC-05,Vollstaendig,0.0539698918474509
Borken-Coesfeld,BC-03--BC-06,Vollstaendig,0.0466551672469913
Borken-Coesfeld,BC-04--BC-05,Vollstaendig,0.0509571367801636
Borken-Coesfeld,BC-04--BC-06,Vollstaendig,0.0504446170769186
Borken-Coesfeld,BC-05--BC-06,Vollstaendig,0.055073074310167
Lorup,LO-01--LO-02,Konstant,0.0835788587563571
Lorup,LO-01--LO-03,Konstant,0.0835788587563571
Lorup,LO-02--LO-03,Konstant,0.0835788587563571
Lorup,LO-01--LO-02,Distanz,0.0836086605927931
Lorup,LO-01--LO-03,Distanz,0.0836090201021742
Lorup,LO-02--LO-03,Distanz,0.0836133038938142
Lorup,LO-01--LO-02,Wald + Wind,0.0605652473556965
Lorup,LO-01--LO-03,Wald + Wind,0.073362832383255
Lorup,LO-02--LO-03,Wald + Wind,0.0630361140503926
Lorup,LO-01--LO-02,Vollstaendig,0.0564835774278986
Lorup,LO-01--LO-03,Vollstaendig,0.0691105416007642
Lorup,LO-02--LO-03,Vollstaendig,0.0590537111192551
Ostfriesland,OF-01--OF-02,Konstant,0.0831577937137914
Ostfriesland,OF-01--OF-03,Konstant,0.0831577937137914
Ostfriesland,OF-01--OF-04,Konstant,0.0831577937137914
Ostfriesland,OF-02--OF-03,Konstant,0.0831577937137914
Ostfriesland,OF-02--OF-04,Konstant,0.0831577937137914
