standort,zielcluster,referenzpaar,gewichtungsverfahren,log_transferfehler_kombiniert
Alpen-Sevelen,AS-04,AS-05--AS-06,Gleichgewichtung,0.0434687107089562
Alpen-Sevelen,AS-04,AS-05--AS-06,1/d^2,0.0436136554247683
Alpen-Sevelen,AS-04,AS-05--AS-06,Wald + Wind,0.0436108654476172
Alpen-Sevelen,AS-04,AS-05--AS-06,Vollstaendig,0.043604328241199
Alpen-Sevelen,AS-05,AS-01--AS-02,Gleichgewichtung,-0.0681658221611835
Alpen-Sevelen,AS-05,AS-01--AS-02,1/d^2,-0.0681482221868903
Alpen-Sevelen,AS-05,AS-01--AS-02,Wald + Wind,-0.0681767906369444
Alpen-Sevelen,AS-05,AS-01--AS-02,Vollstaendig,-0.0681747048429022
Alpen-Sevelen,AS-05,AS-01--AS-03,Gleichgewichtung,-0.039929788767681
Alpen-Sevelen,AS-05,AS-01--AS-03,1/d^2,-0.0213100625660976
Alpen-Sevelen,AS-05,AS-01--AS-03,Wald + Wind,-0.0344754828532695
Alpen-Sevelen,AS-05,AS-01--AS-03,Vollstaendig,-0.0349595609458325
Alpen-Sevelen,AS-05,AS-01--AS-04,Gleichgewichtung,-0.0551057183588912
Alpen-Sevelen,AS-05,AS-01--AS-04,1/d^2,-0.0440183127650449
Alpen-Sevelen,AS-05,AS-01--AS-04,Wald + Wind,-0.0511453831069182
Alpen-Sevelen,AS-05,AS-01--AS-04,Vollstaendig,-0.0517699156314444
Alpen-Sevelen,AS-05,AS-01--AS-06,Gleichgewichtung,-0.0322408160666938
Alpen-Sevelen,AS-05,AS-01--AS-06,1/d^2,0.0014055607317541
Alpen-Sevelen,AS-05,AS-01--AS-06,Wald + Wind,-0.0189830500918657
Alpen-Sevelen,AS-05,AS-01--AS-06,Vollstaendig,-0.0216993986946662
Alpen-Sevelen,AS-05,AS-02--AS-03,Gleichgewichtung,-0.0399965415920281
