modell,teststandort,merkmalsgewichtung,merkmal,merkmalsgewicht_0_bis_1,trainingsmittelwert_in_merkmalseinheit,trainingsstandardabweichung_in_merkmalseinheit
Vollstaendig,Lorup,Gleichgewichtung,winddissimilaritaet_log_rms,0.1666666666666666,0.0604340954154411,0.0366989485193086
Vollstaendig,Ostfriesland,Koeffizientenbetraege,distanz_m,0.1265019272967944,10650.556236198863,7226.2085370208815
Vollstaendig,Ostfriesland,Koeffizientenbetraege,mittlerer_rix_prozent,0.2501905069263053,22.02813669828505,25.700222552076657
Vollstaendig,Ostfriesland,Koeffizientenbetraege,gelaendehoehendifferenz_m,0.1408810926457435,29.81438239200278,28.203389501860133
Vollstaendig,Ostfriesland,Koeffizientenbetraege,rauigkeitsdifferenz_rms_m,0.0275582222408659,0.081297376117936,0.033001892509256
Vollstaendig,Ostfriesland,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.0995793463495624,0.177677210810266,0.0773297630656175
Vollstaendig,Ostfriesland,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.3552889045407283,0.057660376224326,0.0384949397465473
Vollstaendig,Ostfriesland,Gleichgewichtung,distanz_m,0.1666666666666666,10650.556236198863,7226.2085370208815
Vollstaendig,Ostfriesland,Gleichgewichtung,mittlerer_rix_prozent,0.1666666666666666,22.02813669828505,25.700222552076657
Vollstaendig,Ostfriesland,Gleichgewichtung,gelaendehoehendifferenz_m,0.1666666666666666,29.81438239200278,28.203389501860133
Vollstaendig,Ostfriesland,Gleichgewichtung,rauigkeitsdifferenz_rms_m,0.1666666666666666,0.081297376117936,0.033001892509256
Vollstaendig,Ostfriesland,Gleichgewichtung,waldanteilsdifferenz_rms,0.1666666666666666,0.177677210810266,0.0773297630656175
Vollstaendig,Ostfriesland,Gleichgewichtung,winddissimilaritaet_log_rms,0.1666666666666666,0.057660376224326,0.0384949397465473
Vollstaendig,Paderborn,Koeffizientenbetraege,distanz_m,0.0471744832275819,12223.746381938552,9344.122564294268
Vollstaendig,Paderborn,Koeffizientenbetraege,mittlerer_rix_prozent,0.222414881077301,16.513629775657183,25.55338903725034
Vollstaendig,Paderborn,Koeffizientenbetraege,gelaendehoehendifferenz_m,0.236461751004654,21.766472814258893,23.7461765583846
Vollstaendig,Paderborn,Koeffizientenbetraege,rauigkeitsdifferenz_rms_m,0.0479422919690431,0.0751786447984371,0.0284019702701963
Vollstaendig,Paderborn,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.1548998870333635,0.1482719597790202,0.0783211243188402
Vollstaendig,Paderborn,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.2911067056880563,0.0509311425866164,0.0348774003497327
Vollstaendig,Paderborn,Gleichgewichtung,distanz_m,0.1666666666666666,12223.746381938552,9344.122564294268
Vollstaendig,Paderborn,Gleichgewichtung,mittlerer_rix_prozent,0.1666666666666666,16.513629775657183,25.55338903725034
Vollstaendig,Paderborn,Gleichgewichtung,gelaendehoehendifferenz_m,0.1666666666666666,21.766472814258893,23.7461765583846
Vollstaendig,Paderborn,Gleichgewichtung,rauigkeitsdifferenz_rms_m,0.1666666666666666,0.0751786447984371,0.0284019702701963
Vollstaendig,Paderborn,Gleichgewichtung,waldanteilsdifferenz_rms,0.1666666666666666,0.1482719597790202,0.0783211243188402
Vollstaendig,Paderborn,Gleichgewichtung,winddissimilaritaet_log_rms,0.1666666666666666,0.0509311425866164,0.0348774003497327
Vollstaendig,Rheda-Beckum,Koeffizientenbetraege,distanz_m,0.0197018414591813,12646.989506452695,9375.472024440094
Vollstaendig,Rheda-Beckum,Koeffizientenbetraege,mittlerer_rix_prozent,0.2872903562737241,21.520962356216423,26.0865393545763
Vollstaendig,Rheda-Beckum,Koeffizientenbetraege,gelaendehoehendifferenz_m,0.2012656213681373,27.846414126816423,29.47267448443604
Vollstaendig,Rheda-Beckum,Koeffizientenbetraege,rauigkeitsdifferenz_rms_m,0.0143446481447421,0.0863605652443656,0.0306414752268515
Vollstaendig,Rheda-Beckum,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.1353780447636682,0.1679006907142877,0.0880368222431274
Vollstaendig,Rheda-Beckum,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.3420194879905469,0.0570986047617234,0.0383324117106493
Vollstaendig,Rheda-Beckum,Gleichgewichtung,distanz_m,0.1666666666666666,12646.989506452695,9375.472024440094
Vollstaendig,Rheda-Beckum,Gleichgewichtung,mittlerer_rix_prozent,0.1666666666666666,21.520962356216423,26.0865393545763
Vollstaendig,Rheda-Beckum,Gleichgewichtung,gelaendehoehendifferenz_m,0.1666666666666666,27.846414126816423,29.47267448443604
Vollstaendig,Rheda-Beckum,Gleichgewichtung,rauigkeitsdifferenz_rms_m,0.1666666666666666,0.0863605652443656,0.0306414752268515
Vollstaendig,Rheda-Beckum,Gleichgewichtung,waldanteilsdifferenz_rms,0.1666666666666666,0.1679006907142877,0.0880368222431274
Vollstaendig,Rheda-Beckum,Gleichgewichtung,winddissimilaritaet_log_rms,0.1666666666666666,0.0570986047617234,0.0383324117106493
