modell,teststandort,merkmal,koeffizient_standardisiert
Rauigkeit + Wald,Borken-Coesfeld,waldanteilsdifferenz_rms,0.2588767136452727
Rauigkeit + Wald,Lorup,rauigkeitsdifferenz_rms_m,0.1631035117748988
Rauigkeit + Wald,Lorup,waldanteilsdifferenz_rms,0.3446510942086043
Rauigkeit + Wald,Ostfriesland,rauigkeitsdifferenz_rms_m,0.1355680260327602
Rauigkeit + Wald,Ostfriesland,waldanteilsdifferenz_rms,0.1997637016365307
Rauigkeit + Wald,Paderborn,rauigkeitsdifferenz_rms_m,0.1007966352653294
Rauigkeit + Wald,Paderborn,waldanteilsdifferenz_rms,0.3081232947637144
Rauigkeit + Wald,Rheda-Beckum,rauigkeitsdifferenz_rms_m,0.1190448717755695
Rauigkeit + Wald,Rheda-Beckum,waldanteilsdifferenz_rms,0.2851744370344499
Rauigkeit + Wind,Alpen-Sevelen,rauigkeitsdifferenz_rms_m,0.0401274052808012
Rauigkeit + Wind,Alpen-Sevelen,winddissimilaritaet_log_rms,0.4921798139463998
Rauigkeit + Wind,Altenmellrich,rauigkeitsdifferenz_rms_m,0.0559926420661097
Rauigkeit + Wind,Altenmellrich,winddissimilaritaet_log_rms,0.4399952464032309
Rauigkeit + Wind,Bad Berleburg,rauigkeitsdifferenz_rms_m,-0.3426038063829576
Rauigkeit + Wind,Bad Berleburg,winddissimilaritaet_log_rms,1.2032551227433046
Rauigkeit + Wind,Borken-Coesfeld,rauigkeitsdifferenz_rms_m,0.0779882586398907
Rauigkeit + Wind,Borken-Coesfeld,winddissimilaritaet_log_rms,0.4689647865619589
Rauigkeit + Wind,Lorup,rauigkeitsdifferenz_rms_m,0.1373138659838592
Rauigkeit + Wind,Lorup,winddissimilaritaet_log_rms,0.401769539139402
Rauigkeit + Wind,Ostfriesland,rauigkeitsdifferenz_rms_m,0.0728251324677936
Rauigkeit + Wind,Ostfriesland,winddissimilaritaet_log_rms,0.4700553066678065
Rauigkeit + Wind,Paderborn,rauigkeitsdifferenz_rms_m,0.0112974903142236
Rauigkeit + Wind,Paderborn,winddissimilaritaet_log_rms,0.5276124984152732
Rauigkeit + Wind,Rheda-Beckum,rauigkeitsdifferenz_rms_m,0.066389727108478
Rauigkeit + Wind,Rheda-Beckum,winddissimilaritaet_log_rms,0.5104389312672395
Wald + Wind,Alpen-Sevelen,waldanteilsdifferenz_rms,0.2396905779017086
Wald + Wind,Alpen-Sevelen,winddissimilaritaet_log_rms,0.4569878438054747
Wald + Wind,Altenmellrich,waldanteilsdifferenz_rms,0.1612280068430565
Wald + Wind,Altenmellrich,winddissimilaritaet_log_rms,0.4170760862685821
Wald + Wind,Bad Berleburg,waldanteilsdifferenz_rms,0.1917889522425256
Wald + Wind,Bad Berleburg,winddissimilaritaet_log_rms,0.5093003086580795
Wald + Wind,Borken-Coesfeld,waldanteilsdifferenz_rms,0.2094294603612992
Wald + Wind,Borken-Coesfeld,winddissimilaritaet_log_rms,0.4524601049196946
Wald + Wind,Lorup,waldanteilsdifferenz_rms,0.2996345245434529
Wald + Wind,Lorup,winddissimilaritaet_log_rms,0.3752499054864958
Wald + Wind,Ostfriesland,waldanteilsdifferenz_rms,0.1541593149367368
Wald + Wind,Ostfriesland,winddissimilaritaet_log_rms,0.4600141202760435
Wald + Wind,Paderborn,waldanteilsdifferenz_rms,0.2217512705937125
Wald + Wind,Paderborn,winddissimilaritaet_log_rms,0.4882796899990363
Wald + Wind,Rheda-Beckum,waldanteilsdifferenz_rms,0.2219681119240501
Wald + Wind,Rheda-Beckum,winddissimilaritaet_log_rms,0.4860641990625612
Distanz + RIX + Gelaendehoehe,Alpen-Sevelen,distanz_m,0.0233888415545695
Distanz + RIX + Gelaendehoehe,Alpen-Sevelen,mittlerer_rix_prozent,0.3587552473272037
Distanz + RIX + Gelaendehoehe,Alpen-Sevelen,gelaendehoehendifferenz_m,0.2911670350039317
Distanz + RIX + Gelaendehoehe,Altenmellrich,distanz_m,0.1600869173210486
Distanz + RIX + Gelaendehoehe,Altenmellrich,mittlerer_rix_prozent,0.3958067306108923
Distanz + RIX + Gelaendehoehe,Altenmellrich,gelaendehoehendifferenz_m,0.1367666379908316
Distanz + RIX + Gelaendehoehe,Bad Berleburg,distanz_m,0.0699218731425384
Distanz + RIX + Gelaendehoehe,Bad Berleburg,mittlerer_rix_prozent,0.4056326749538767
Distanz + RIX + Gelaendehoehe,Bad Berleburg,gelaendehoehendifferenz_m,0.2934467160724091
Distanz + RIX + Gelaendehoehe,Borken-Coesfeld,distanz_m,0.0573263033405651
Distanz + RIX + Gelaendehoehe,Borken-Coesfeld,mittlerer_rix_prozent,0.3338273876238207
Distanz + RIX + Gelaendehoehe,Borken-Coesfeld,gelaendehoehendifferenz_m,0.3012821171969275
Distanz + RIX + Gelaendehoehe,Lorup,distanz_m,-0.0219110693374576
Distanz + RIX + Gelaendehoehe,Lorup,mittlerer_rix_prozent,0.3018778493738791
Distanz + RIX + Gelaendehoehe,Lorup,gelaendehoehendifferenz_m,0.2682095170991758
Distanz + RIX + Gelaendehoehe,Ostfriesland,distanz_m,0.1572160674732627
Distanz + RIX + Gelaendehoehe,Ostfriesland,mittlerer_rix_prozent,0.341546277078925
Distanz + RIX + Gelaendehoehe,Ostfriesland,gelaendehoehendifferenz_m,0.2584657197367003
Distanz + RIX + Gelaendehoehe,Paderborn,distanz_m,-0.0154130476120516
Distanz + RIX + Gelaendehoehe,Paderborn,mittlerer_rix_prozent,0.0702023457193672
Distanz + RIX + Gelaendehoehe,Paderborn,gelaendehoehendifferenz_m,0.0785941378412085
Distanz + RIX + Gelaendehoehe,Rheda-Beckum,distanz_m,-0.0001000451005501
Distanz + RIX + Gelaendehoehe,Rheda-Beckum,mittlerer_rix_prozent,0.4094245457042362
Distanz + RIX + Gelaendehoehe,Rheda-Beckum,gelaendehoehendifferenz_m,0.3472807460413195
Distanz + RIX + Rauigkeit,Alpen-Sevelen,distanz_m,-0.0034647246768403
Distanz + RIX + Rauigkeit,Alpen-Sevelen,mittlerer_rix_prozent,0.0612019369509925
Distanz + RIX + Rauigkeit,Alpen-Sevelen,rauigkeitsdifferenz_rms_m,0.0246400681045772
Distanz + RIX + Rauigkeit,Altenmellrich,distanz_m,0.1632573041709409
Distanz + RIX + Rauigkeit,Altenmellrich,mittlerer_rix_prozent,0.4112690933341766
Distanz + RIX + Rauigkeit,Altenmellrich,rauigkeitsdifferenz_rms_m,0.0625137797158006
Distanz + RIX + Rauigkeit,Bad Berleburg,distanz_m,0.0605756907122912
Distanz + RIX + Rauigkeit,Bad Berleburg,mittlerer_rix_prozent,0.5253210847097689
Distanz + RIX + Rauigkeit,Bad Berleburg,rauigkeitsdifferenz_rms_m,0.0096773657642615
Distanz + RIX + Rauigkeit,Borken-Coesfeld,distanz_m,0.0027427309303181
Distanz + RIX + Rauigkeit,Borken-Coesfeld,mittlerer_rix_prozent,0.0582123653634806
Distanz + RIX + Rauigkeit,Borken-Coesfeld,rauigkeitsdifferenz_rms_m,0.032108631064421
Distanz + RIX + Rauigkeit,Lorup,distanz_m,-0.0577158730503888
Distanz + RIX + Rauigkeit,Lorup,mittlerer_rix_prozent,0.3007887035414825
Distanz + RIX + Rauigkeit,Lorup,rauigkeitsdifferenz_rms_m,0.1979036426729152
Distanz + RIX + Rauigkeit,Ostfriesland,distanz_m,0.1420128219862015
Distanz + RIX + Rauigkeit,Ostfriesland,mittlerer_rix_prozent,0.3578982635934923
Distanz + RIX + Rauigkeit,Ostfriesland,rauigkeitsdifferenz_rms_m,0.1110763565502924
Distanz + RIX + Rauigkeit,Paderborn,distanz_m,-0.0168185262032575
Distanz + RIX + Rauigkeit,Paderborn,mittlerer_rix_prozent,0.0712640989369457
Distanz + RIX + Rauigkeit,Paderborn,rauigkeitsdifferenz_rms_m,0.0226693755690136
